2026-04-25 10:43:27,178: Key: k
2026-04-25 10:43:27,282: Key: e
2026-04-25 10:43:27,418: Key: y
2026-04-25 10:43:28,434: Key: l
2026-04-25 10:43:28,650: Key: o
2026-04-25 10:43:28,850: Key: g
2026-04-25 10:43:29,434: Special: Key.enter
2026-04-25 10:43:37,306: Special: Key.shift
2026-04-25 10:43:37,706: Key: H
2026-04-25 10:43:37,842: Key: I
2026-04-25 10:43:38,074: Key: D
2026-04-25 10:43:38,162: Key: S
2026-04-25 10:43:38,682: Special: Key.enter
2026-04-25 10:43:46,587: Special: Key.shift
2026-04-25 10:43:47,026: Key: F
2026-04-25 10:43:47,186: Key: I
2026-04-25 10:43:47,418: Key: M
2026-04-25 10:43:47,770: Special: Key.enter
2026-04-25 10:53:18,736: Special: Key.shift
2026-04-25 10:53:19,112: Key: R
2026-04-25 10:53:19,600: Special: Key.shift
2026-04-25 10:53:20,304: Key: a
2026-04-25 10:53:20,440: Key: n
2026-04-25 10:53:21,057: Key: s
2026-04-25 10:53:21,176: Key: o
2026-04-25 10:53:21,368: Key: n
2026-04-25 10:53:21,712: Key: w
2026-04-25 10:53:21,776: Key: a
2026-04-25 10:53:21,952: Key: r
2026-04-25 10:53:22,048: Key: e
2026-04-25 10:53:22,544: Special: Key.backspace
2026-04-25 10:53:22,736: Special: Key.backspace
2026-04-25 10:53:22,904: Special: Key.backspace
2026-04-25 10:53:23,080: Special: Key.backspace
2026-04-25 10:53:23,240: Special: Key.backspace
2026-04-25 10:53:23,776: Key: m
2026-04-25 10:53:24,072: Key: w
2026-04-25 10:53:24,120: Key: a
2026-04-25 10:53:24,320: Key: r
2026-04-25 10:53:24,400: Key: e
2026-04-25 10:53:24,744: Special: Key.enter
2026-04-25 10:53:37,128: Key: r
2026-04-25 10:53:37,192: Key: a
2026-04-25 10:53:37,392: Key: n
2026-04-25 10:53:37,537: Key: s
2026-04-25 10:53:37,600: Key: o
2026-04-25 10:53:37,800: Key: m
2026-04-25 10:53:38,480: Key: w
2026-04-25 10:53:38,528: Key: a
2026-04-25 10:53:38,768: Key: r
2026-04-25 10:53:38,824: Key: e
2026-04-25 10:53:39,088: Key: .
2026-04-25 10:53:40,176: Key: p
2026-04-25 10:53:40,504: Key: y
2026-04-25 10:53:41,952: Special: Key.enter
2026-04-25 10:54:12,601: Special: Key.alt_l
2026-04-25 10:54:12,649: Special: Key.tab
2026-04-25 10:54:17,656: Special: Key.ctrl_l
2026-04-25 10:54:18,165: Special: Key.ctrl_l
2026-04-25 10:54:18,198: Special: Key.ctrl_l
2026-04-25 10:54:18,229: Special: Key.ctrl_l
2026-04-25 10:54:18,261: Special: Key.ctrl_l
2026-04-25 10:54:18,292: Special: Key.ctrl_l
2026-04-25 10:54:18,324: Special: Key.ctrl_l
2026-04-25 10:54:18,355: Special: Key.ctrl_l
2026-04-25 10:54:18,387: Special: Key.ctrl_l
2026-04-25 10:54:18,420: Special: Key.ctrl_l
2026-04-25 10:54:18,453: Special: Key.ctrl_l
2026-04-25 10:54:18,488: Special: Key.ctrl_l
2026-04-25 10:54:18,520: Special: Key.ctrl_l
2026-04-25 10:54:18,551: Special: Key.ctrl_l
2026-04-25 10:54:18,553: Key: 
2026-04-25 10:54:53,329: Key: r
2026-04-25 10:54:53,401: Key: a
2026-04-25 10:54:53,537: Key: n
2026-04-25 10:54:53,657: Key: s
2026-04-25 10:54:54,361: Key: o
2026-04-25 10:54:54,777: Key: n
2026-04-25 10:54:55,105: Key: w
2026-04-25 10:54:55,185: Key: a
2026-04-25 10:54:55,337: Key: r
2026-04-25 10:54:55,433: Key: e
2026-04-25 10:54:55,857: Special: Key.enter
2026-04-25 10:55:02,009: Special: Key.backspace
2026-04-25 10:55:02,497: Key: m
2026-04-25 10:55:03,097: Special: Key.enter
2026-04-25 10:55:10,329: Special: Key.up
2026-04-25 10:55:10,593: Special: Key.up
2026-04-25 10:55:10,809: Special: Key.up
2026-04-25 10:55:11,025: Special: Key.up
2026-04-25 10:55:11,281: Special: Key.up
2026-04-25 10:55:11,553: Special: Key.up
2026-04-25 10:55:11,857: Special: Key.up
2026-04-25 10:55:12,081: Special: Key.up
2026-04-25 10:55:12,401: Special: Key.up
2026-04-25 10:55:12,657: Special: Key.up
2026-04-25 10:55:13,153: Special: Key.down
2026-04-25 10:55:14,057: Special: Key.enter
2026-04-25 10:56:06,794: Key: c
2026-04-25 10:56:07,034: Key: d
2026-04-25 10:56:08,018: Special: Key.space
2026-04-25 10:56:08,274: Key: .
2026-04-25 10:56:08,426: Key: .
2026-04-25 10:56:08,714: Special: Key.enter
2026-04-25 10:56:10,306: Key: p
2026-04-25 10:56:10,530: Key: y
2026-04-25 10:56:10,698: Key: t
2026-04-25 10:56:10,770: Key: h
2026-04-25 10:56:10,898: Key: o
2026-04-25 10:56:11,058: Key: n
2026-04-25 10:56:11,242: Special: Key.space
2026-04-25 10:56:11,610: Key: -
2026-04-25 10:56:11,882: Key: m
2026-04-25 10:56:12,082: Special: Key.space
2026-04-25 10:56:13,746: Key: v
2026-04-25 10:56:13,842: Key: e
2026-04-25 10:56:14,042: Key: n
2026-04-25 10:56:14,242: Key: e
2026-04-25 10:56:15,002: Special: Key.backspace
2026-04-25 10:56:15,346: Key: v
2026-04-25 10:56:16,922: Special: Key.space
2026-04-25 10:56:17,522: Key: v
2026-04-25 10:56:17,594: Key: e
2026-04-25 10:56:17,730: Key: n
2026-04-25 10:56:18,810: Key: v
2026-04-25 10:56:20,634: Special: Key.enter
2026-04-25 10:56:25,786: Key: s
2026-04-25 10:56:25,946: Key: o
2026-04-25 10:56:26,050: Key: r
2026-04-25 10:56:26,154: Key: u
2026-04-25 10:56:26,306: Key: c
2026-04-25 10:56:26,394: Key: e
2026-04-25 10:56:26,682: Special: Key.backspace
2026-04-25 10:56:26,842: Special: Key.backspace
2026-04-25 10:56:26,994: Special: Key.backspace
2026-04-25 10:56:27,130: Special: Key.backspace
2026-04-25 10:56:27,266: Key: r
2026-04-25 10:56:27,418: Key: u
2026-04-25 10:56:27,530: Key: c
2026-04-25 10:56:27,602: Key: e
2026-04-25 10:56:27,722: Special: Key.space
2026-04-25 10:56:28,058: Special: Key.backspace
2026-04-25 10:56:28,210: Special: Key.backspace
2026-04-25 10:56:28,362: Special: Key.backspace
2026-04-25 10:56:28,538: Special: Key.backspace
2026-04-25 10:56:28,690: Special: Key.backspace
2026-04-25 10:56:29,250: Key: u
2026-04-25 10:56:29,378: Key: r
2026-04-25 10:56:29,682: Key: c
2026-04-25 10:56:29,706: Key: e
2026-04-25 10:56:30,562: Special: Key.space
2026-04-25 10:56:30,962: Key: v
2026-04-25 10:56:31,050: Key: e
2026-04-25 10:56:31,362: Special: Key.tab
2026-04-25 10:56:32,298: Special: Key.backspace
2026-04-25 10:56:32,474: Special: Key.backspace
2026-04-25 10:56:32,642: Special: Key.backspace
2026-04-25 10:56:32,802: Special: Key.backspace
2026-04-25 10:56:32,970: Special: Key.backspace
2026-04-25 10:56:33,154: Special: Key.backspace
2026-04-25 10:56:33,338: Special: Key.backspace
2026-04-25 10:56:33,962: Key: v
2026-04-25 10:56:34,034: Key: e
2026-04-25 10:56:34,634: Key: n
2026-04-25 10:56:35,042: Key: v
2026-04-25 10:56:35,914: Special: Key.enter
2026-04-25 10:56:37,082: Special: Key.up
2026-04-25 10:56:38,858: Key: /
2026-04-25 10:56:40,082: Key: b
2026-04-25 10:56:40,810: Special: Key.backspace
2026-04-25 10:56:41,194: Special: Key.backspace
2026-04-25 10:56:41,378: Special: Key.backspace
2026-04-25 10:56:49,338: Special: Key.backspace
